module,final_script_or_workflow,classification,support_scripts,input_artifacts,output_artifacts,paper_location,final_publication_match,provenance_confidence,notes
BENCHMARK,fig4_v2_compute.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,fig4_v2_render.py,private matrix + shared folds,single-model benchmark results,Main Figure 2 / SI Figure S3,YES,HIGH,Final SI benchmark source table is results/benchmark/model_benchmark_metrics.csv; Average Precision is used.
SUPERLEARNER,run_v27_superlearner.py; fig4_v2_compute.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT / FINAL_PUBLICATION_VALUE_REPRODUCTION,none,base-model OOF predictions,SuperLearner comparison,SI Figure S3,YES,MEDIUM,Historical Full8 workflow is retained; final 0.9330/0.9081 value is reproduced by the verified six-base GBDT stacking workflow. Exact historical Full8 execution lineage remains partial.
GEOMETRY_ABLATION,fig4_v2_compute.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,d1_paired_bootstrap.py,feature subsets + grouped folds,full / no-geometry / geometry-only results,Main Figure 3,YES,HIGH,Final AUCs 0.9278 / 0.9170 / 0.8625.
PAIRED_BOOTSTRAP,d1_paired_bootstrap.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,none,paired OOF predictions,group-cluster bootstrap CIs,Results / SI,YES,HIGH,5000 paired group-cluster bootstrap replicates.
CALIBRATION,d2_calibration.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,none,primary OOF predictions,Brier/ECE/slope/intercept with CIs,SI Figure S4,YES,HIGH,Final machine-readable calibration table is results/calibration/calibration_summary.csv.
GLOBAL_OOF_SHAP,_gate9_oof_shap.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,figure rendering scripts,five held-out fold models + private matrix,global OOF TreeSHAP,Main Figure 4 / SI Figure S5,YES,HIGH,All 5204 observations; raw/log-odds scale.
SHAP_INTERACTION,SERVER_compute_oof_interaction_v2.py; SERVER_D3FULL_standalone.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,interaction figure scripts,held-out fold models + n=128 subsets,interaction matrices and stability summaries,Main Figure 5 / SI Figures S6-S7,YES,HIGH,Pre-existing n=128 visualization subset plus five prespecified sensitivity subsets.
MOLECULE_DISJOINT,task1_canonical_smiles_grouped_oof.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,none,private structure groups + matrix,molecule-disjoint OOF predictions,Results,YES,HIGH,Public-safe assignments/predictions verify zero molecule grouping violations.
SCAFFOLD_DISJOINT,scaffold_validation_stage2_rerun_server.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,run_scaffold_validation_patch_v3.py,private scaffold groups + matrix,10 repeated scaffold-disjoint evaluations,Main Figure 6,YES,HIGH,"Mean ROC-AUC 0.7850, sample SD 0.0508; zero public group-overlap violations."
CONDITIONAL_SURFACES,fig13_step2_surfaces.py,ORIGINAL_FINAL_PUBLICATION_SCRIPT,fig13_v3_step7_batch_all_pairs.py,five fold models + empirical background,conditional P(OR+) surfaces,SI Figure S10,YES,HIGH,Five-model fold ensemble; supported-region interpretation.
